Datetime,MWh_N,MWh_NE,MWh_S,MWh_SE
2414,610846768.272,954823799.051,871668610.675,347410665.159
2415,612266194.651,957007506.088,873628668.886,347410665.159
2416,613685621.029,959191213.125,875588727.098,347410665.159
2417,615105047.407,961374920.162,877548785.309,347410665.159
2418,616524473.786,963558627.199,879508843.52,347410665.159
2419,617943900.164,965742334.236,881468901.731,347410665.159
2420,619363326.543,967926041.273,883428959.942,347410665.159
2421,620782752.921,970109748.31,885389018.154,347410665.159
2422,622202179.3,972293455.348,887349076.365,347410665.159
2423,623621605.678,974477162.385,889309134.576,347410665.159
2424,625041032.057,976660869.422,891269192.787,347410665.159
2425,626460458.435,978844576.459,893229250.998,347410665.159
2426,627879884.814,981028283.496,895189309.21,347410665.159
2427,629299311.192,983211990.533,897149367.421,347410665.159
2428,630718737.571,985395697.57,899109425.632,347410665.159
2429,632138163.949,987579404.607,901069483.843,347410665.159
2430,633557590.327,989763111.644,903029542.054,347410665.159
2431,634977016.706,991946818.681,904989600.266,347410665.159
2432,636396443.084,994130525.718,906949658.477,347410665.159
2433,637815869.463,996314232.755,908909716.688,347410665.159
2434,639235295.841,998497939.792,910869774.899,347410665.159
2435,640654722.22,1000681646.829,912829833.11,347410665.159
2436,642074148.598,1002865353.867,914789891.322,347410665.159
2437,643493574.977,1005049060.904,916749949.533,347410665.159
2438,644913001.355,1007232767.941,918710007.744,347410665.159
2439,646332427.734,1009416474.978,920670065.955,347410665.159
2440,647751854.112,1011600182.015,922630124.166,347410665.159
2441,649171280.491,1013783889.052,924590182.378,347410665.159
2442,650590706.869,1015967596.089,926550240.589,347410665.159
2443,652010133.247,1018151303.126,928510298.8,347410665.159
2444,653429559.626,1020335010.163,930470357.011,347410665.159
2445,654848986.004,1022518717.2,932430415.222,347410665.159
2446,656268412.383,1024702424.237,934390473.434,347410665.159
2447,657687838.761,1026886131.274,936350531.645,347410665.159
2448,659107265.14,1029069838.311,938310589.856,347410665.159
2449,660526691.518,1031253545.348,940270648.067,347410665.159
2450,661946117.897,1033437252.386,942230706.278,347410665.159
2451,663365544.275,1035620959.423,944190764.49,347410665.159
2452,664784970.654,1037804666.46,946150822.701,347410665.159
2453,666204397.032,1039988373.497,948110880.912,347410665.159
2454,667623823.41,1042172080.534,950070939.123,347410665.159
2455,669043249.789,1044355787.571,952030997.334,347410665.159
2456,670462676.167,1046539494.608,953991055.546,347410665.159
2457,671882102.546,1048723201.645,955951113.757,347410665.159
2458,673301528.924,1050906908.682,957911171.968,347410665.159
2459,674720955.303,1053090615.719,959871230.179,347410665.159
2460,676140381.681,1055274322.756,961831288.39,347410665.159
2461,677559808.06,1057458029.793,963791346.602,347410665.159
2462,678979234.438,1059641736.83,965751404.813,347410665.159
2463,680398660.817,1061825443.867,967711463.024,347410665.159
2464,681818087.195,1064009150.905,969671521.235,347410665.159
2465,683237513.574,1066192857.942,971631579.446,347410665.159
2466,684656939.952,1068376564.979,973591637.658,347410665.159
2467,686076366.33,1070560272.016,975551695.869,347410665.159
2468,687495792.709,1072743979.053,977511754.08,347410665.159
2469,688915219.087,1074927686.09,979471812.291,347410665.159
2470,690334645.466,1077111393.127,981431870.502,347410665.159
2471,691754071.844,1079295100.164,983391928.714,347410665.159
2472,693173498.223,1081478807.201,985351986.925,347410665.159
2473,694592924.601,1083662514.238,987312045.136,347410665.159
2474,696012350.98,1085846221.275,989272103.347,347410665.159
2475,697431777.358,1088029928.312,991232161.558,347410665.159
2476,698851203.737,1090213635.349,993192219.77,347410665.159
2477,700270630.115,1092397342.386,995152277.981,347410665.159
2478,701690056.494,1094581049.424,997112336.192,347410665.159
2479,703109482.872,1096764756.461,999072394.403,347410665.159
2480,704528909.25,1098948463.498,1001032452.614,347410665.159
2481,705948335.629,1101132170.535,1002992510.826,347410665.159
2482,707367762.007,1103315877.572,1004952569.037,347410665.159
2483,708787188.386,1105499584.609,1006912627.248,347410665.159
2484,710206614.764,1107683291.646,1008872685.459,347410665.159
2485,711626041.143,1109866998.683,1010832743.67,347410665.159
2486,713045467.521,1112050705.72,1012792801.882,347410665.159
2487,714464893.9,1114234412.757,1014752860.093,347410665.159
2488,715884320.278,1116418119.794,1016712918.304,347410665.159
2489,717303746.657,1118601826.831,1018672976.515,347410665.159
2490,718723173.035,1120785533.868,1020633034.726,347410665.159
2491,720142599.414,1122969240.905,1022593092.938,347410665.159
2492,721562025.792,1125152947.943,1024553151.149,347410665.159
2493,722981452.17,1127336654.98,1026513209.36,347410665.159
2494,724400878.549,1129520362.017,1028473267.571,347410665.159
2495,725820304.927,1131704069.054,1030433325.782,347410665.159
2496,727239731.306,1133887776.091,1032393383.994,347410665.159
2497,728659157.684,1136071483.128,1034353442.205,347410665.159
2498,730078584.063,1138255190.165,1036313500.416,347410665.159
2499,731498010.441,1140438897.202,1038273558.627,347410665.159
2500,732917436.82,1142622604.239,1040233616.838,347410665.159
2501,734336863.198,1144806311.276,1042193675.05,347410665.159
2502,735756289.577,1146990018.313,1044153733.261,347410665.159
2503,737175715.955,1149173725.35,1046113791.472,347410665.159
2504,738595142.334,1151357432.387,1048073849.683,347410665.159
2505,740014568.712,1153541139.424,1050033907.894,347410665.159
2506,741433995.09,1155724846.462,1051993966.106,347410665.159
